objective,schedule,epsilon,seed,N,path_length,success
sinusoid,A,0.3,1,1000000,697154.2143164504,budget_limited
sinusoid,A,0.3,2,1000000,697084.6583336439,budget_limited
sinusoid,A,0.3,3,1000000,697130.4160852062,budget_limited
sinusoid,A,0.3,4,1000000,697172.32672958,budget_limited
sinusoid,A,0.3,5,1000000,697212.3536449985,budget_limited
sinusoid,A,0.3,6,1000000,697070.364351119,budget_limited
sinusoid,A,0.3,7,1000000,697183.3515451482,budget_limited
sinusoid,A,0.3,8,1000000,697437.1269014572,budget_limited
sinusoid,A,0.3,9,1000000,697250.304327508,budget_limited
sinusoid,A,0.2,0,1000000,697060.932027521,budget_limited
sinusoid,A,0.2,1,1000000,697154.2143164504,budget_limited
sinusoid,A,0.2,2,1000000,697084.6583336439,budget_limited
sinusoid,A,0.2,3,1000000,697130.4160852062,budget_limited
sinusoid,A,0.2,4,1000000,697172.32672958,budget_limited
sinusoid,A,0.2,5,1000000,697212.3536449985,budget_limited
sinusoid,A,0.2,6,1000000,697070.364351119,budget_limited
sinusoid,A,0.2,7,1000000,697183.3515451482,budget_limited
sinusoid,A,0.2,8,1000000,697437.1269014572,budget_limited
sinusoid,A,0.2,9,1000000,697250.304327508,budget_limited
sinusoid,A,0.15,0,1000000,697060.932027521,budget_limited
sinusoid,A,0.15,1,1000000,697154.2143164504,budget_limited
sinusoid,A,0.15,2,1000000,697084.6583336439,budget_limited
sinusoid,A,0.15,3,1000000,697130.4160852062,budget_limited
sinusoid,A,0.15,4,1000000,697172.32672958,budget_limited
sinusoid,A,0.15,5,1000000,697212.3536449985,budget_limited
sinusoid,A,0.15,6,1000000,697070.364351119,budget_limited
sinusoid,A,0.15,7,1000000,697183.3515451482,budget_limited
sinusoid,A,0.15,8,1000000,697437.1269014572,budget_limited
sinusoid,A,0.15,9,1000000,697250.304327508,budget_limited
sinusoid,A,0.1,0,1000000,697060.932027521,budget_limited
sinusoid,A,0.1,1,1000000,697154.2143164504,budget_limited
sinusoid,A,0.1,2,1000000,697084.6583336439,budget_limited
sinusoid,A,0.1,3,1000000,697130.4160852062,budget_limited
sinusoid,A,0.1,4,1000000,697172.32672958,budget_limited
sinusoid,A,0.1,5,1000000,697212.3536449985,budget_limited
sinusoid,A,0.1,6,1000000,697070.364351119,budget_limited
sinusoid,A,0.1,7,1000000,697183.3515451482,budget_limited
sinusoid,A,0.1,8,1000000,697437.1269014572,budget_limited
sinusoid,A,0.1,9,1000000,697250.304327508,budget_limited
sinusoid,A,0.07,0,1000000,697060.932027521,budget_limited
sinusoid,A,0.07,1,1000000,697154.2143164504,budget_limited
sinusoid,A,0.07,2,1000000,697084.6583336439,budget_limited
sinusoid,A,0.07,3,1000000,697130.4160852062,budget_limited
sinusoid,A,0.07,4,1000000,697172.32672958,budget_limited
sinusoid,A,0.07,5,1000000,697212.3536449985,budget_limited
sinusoid,A,0.07,6,1000000,697070.364351119,budget_limited
sinusoid,A,0.07,7,1000000,697183.3515451482,budget_limited
sinusoid,A,0.07,8,1000000,697437.1269014572,budget_limited
sinusoid,A,0.07,9,1000000,697250.304327508,budget_limited
sinusoid,A,0.05,0,1000000,697060.932027521,budget_limited
sinusoid,A,0.05,1,1000000,697154.2143164504,budget_limited
sinusoid,A,0.05,2,1000000,697084.6583336439,budget_limited
sinusoid,A,0.05,3,1000000,697130.4160852062,budget_limited
sinusoid,A,0.05,4,1000000,697172.32672958,budget_limited
sinusoid,A,0.05,5,1000000,697212.3536449985,budget_limited
sinusoid,A,0.05,6,1000000,697070.364351119,budget_limited
sinusoid,A,0.05,7,1000000,697183.3515451482,budget_limited
sinusoid,A,0.05,8,1000000,697437.1269014572,budget_limited
sinusoid,A,0.05,9,1000000,697250.304327508,budget_limited
sinusoid,B,0.5,0,1,0.0,1
sinusoid,B,0.5,1,201,39.45770919974079,1
sinusoid,B,0.5,2,201,39.20449554255648,1
sinusoid,B,0.5,3,201,39.85310439247497,1
sinusoid,B,0.5,4,401,56.96191656623827,1
sinusoid,B,0.5,5,201,39.136176600298604,1
sinusoid,B,0.5,6,201,38.84537759592198,1
sinusoid,B,0.5,7,201,39.1791494770378,1
sinusoid,B,0.5,8,1,0.0,1
sinusoid,B,0.5,9,201,39.90948071639026,1
sinusoid,B,0.3,0,401,57.699820936632705,1
sinusoid,B,0.3,1,201,39.45770919974079,1
sinusoid,B,0.3,2,401,57.627703089188365,1
sinusoid,B,0.3,3,401,58.4437210105568,1
sinusoid,B,0.3,4,401,56.96191656623827,1
sinusoid,B,0.3,5,201,39.136176600298604,1
sinusoid,B,0.3,6,201,38.84537759592198,1
sinusoid,B,0.3,7,201,39.1791494770378,1
sinusoid,B,0.3,8,401,58.651139900701125,1
sinusoid,B,0.3,9,201,39.90948071639026,1
sinusoid,B,0.2,0,1201,103.30938188098753,1
sinusoid,B,0.2,1,401,57.74536555198484,1
sinusoid,B,0.2,2,801,83.21243924688288,1
sinusoid,B,0.2,3,1201,104.21885807022643,1
sinusoid,B,0.2,4,401,56.96191656623827,1
sinusoid,B,0.2,5,601,72.16896310546117,1
sinusoid,B,0.2,6,601,71.28774138050638,1
sinusoid,B,0.2,7,1201,103.08428034229213,1
sinusoid,B,0.2,8,1201,103.52813464091881,1
sinusoid,B,0.2,9,801,84.80581130487622,1
sinusoid,B,0.15,0,1201,103.30938188098753,1
sinusoid,B,0.15,1,1601,119.43558531406585,1
sinusoid,B,0.15,2,1601,119.71238981222953,1
sinusoid,B,0.15,3,1601,120.42813628872466,1
sinusoid,B,0.15,4,1401,110.99097252126346,1
sinusoid,B,0.15,5,1001,94.50358365600641,1
sinusoid,B,0.15,6,1001,93.77315757576855,1
sinusoid,B,0.15,7,2201,140.52649147502467,1
sinusoid,B,0.15,8,1601,119.94811281299788,1
sinusoid,B,0.15,9,1201,104.51368407458007,1
sinusoid,B,0.1,0,9401,296.2680364289985,1
sinusoid,B,0.1,1,7001,253.85589346914915,1
sinusoid,B,0.1,2,2001,134.2738804779408,1
sinusoid,B,0.1,3,9401,296.6856544622131,1
sinusoid,B,0.1,4,15201,376.45010762418644,1
sinusoid,B,0.1,5,4201,197.2981953225237,1
sinusoid,B,0.1,6,6001,236.0347121167839,1
sinusoid,B,0.1,7,3401,176.00560672797565,1
sinusoid,B,0.1,8,8601,283.1930380037341,1
sinusoid,B,0.1,9,5001,216.3161422956789,1
sinusoid,B,0.07,0,43001,638.0161192876559,1
sinusoid,B,0.07,1,63601,774.0528599636268,1
sinusoid,B,0.07,2,61001,759.4644503485648,1
sinusoid,B,0.07,3,54401,718.0429450161622,1
sinusoid,B,0.07,4,48401,675.0436302621296,1
sinusoid,B,0.07,5,23801,474.23628304254106,1
sinusoid,B,0.07,6,40201,616.8211670446327,1
sinusoid,B,0.07,7,30401,534.5470540129215,1
sinusoid,B,0.07,8,14601,370.1240816487513,1
sinusoid,B,0.07,9,42801,637.5062715050062,1
sinusoid,B,0.05,0,164401,1249.070845391083,1
sinusoid,B,0.05,1,116001,1046.4090770900066,1
sinusoid,B,0.05,2,132601,1121.2033110966884,1
sinusoid,B,0.05,3,205001,1395.0727919044255,1
sinusoid,B,0.05,4,280601,1630.3990858179598,1
sinusoid,B,0.05,5,87001,908.4326163658656,1
sinusoid,B,0.05,6,616201,2420.3111606317743,1
sinusoid,B,0.05,7,339001,1793.6106543447693,1
sinusoid,B,0.05,8,229801,1476.5793649936459,1
sinusoid,B,0.05,9,57601,739.9987723589253,1
sinusoid,C,0.5,0,1,0.0,1
sinusoid,C,0.5,1,201,73.77755362123318,1
sinusoid,C,0.5,2,201,70.00553091037074,1
sinusoid,C,0.5,3,201,71.54617136040262,1
sinusoid,C,0.5,4,401,116.0861745500031,1
sinusoid,C,0.5,5,201,71.16859821011676,1
sinusoid,C,0.5,6,201,71.58914912525724,1
sinusoid,C,0.5,7,201,71.61857532911466,1
sinusoid,C,0.5,8,1,0.0,1
sinusoid,C,0.5,9,201,72.30283646679044,1
sinusoid,C,0.3,0,1201,257.60680513119723,1
sinusoid,C,0.3,1,1201,258.4620691918677,1
sinusoid,C,0.3,2,1401,284.38852023592017,1
sinusoid,C,0.3,3,1201,258.6211273863813,1
sinusoid,C,0.3,4,401,116.0861745500031,1
sinusoid,C,0.3,5,601,159.92725668100215,1
sinusoid,C,0.3,6,201,71.58914912525724,1
sinusoid,C,0.3,7,401,119.34374466685499,1
sinusoid,C,0.3,8,1401,284.7483079793407,1
sinusoid,C,0.3,9,1001,229.4433971025565,1
sinusoid,C,0.2,0,1201,257.60680513119723,1
sinusoid,C,0.2,1,2201,389.95556118476935,1
sinusoid,C,0.2,2,5801,748.0410608812202,1
sinusoid,C,0.2,3,1601,313.66230879698816,1
sinusoid,C,0.2,4,9201,1020.3528060245596,1
sinusoid,C,0.2,5,3801,566.5374892360626,1
sinusoid,C,0.2,6,1201,258.64397259046876,1
sinusoid,C,0.2,7,5401,715.5755087446769,1
sinusoid,C,0.2,8,2001,363.1206905618472,1
sinusoid,C,0.2,9,6601,823.5502405857347,1
sinusoid,C,0.15,0,9201,1024.1863907068077,1
sinusoid,C,0.15,1,15801,1467.783740891775,1
sinusoid,C,0.15,2,9801,1066.144219025424,1
sinusoid,C,0.15,3,9001,1008.7828291927165,1
sinusoid,C,0.15,4,18401,1622.385212407617,1
sinusoid,C,0.15,5,19401,1687.6731101611,1
sinusoid,C,0.15,6,8001,933.2203056087354,1
sinusoid,C,0.15,7,13201,1302.0819199082314,1
sinusoid,C,0.15,8,11401,1180.6492757753392,1
sinusoid,C,0.15,9,9401,1043.2903031595458,1
sinusoid,C,0.1,0,95001,4857.205858880138,1
sinusoid,C,0.1,1,55601,3392.559360945575,1
sinusoid,C,0.1,2,50601,3189.5084686612527,1
sinusoid,C,0.1,3,109201,5323.007348542669,1
sinusoid,C,0.1,4,62401,3663.2592111517524,1
sinusoid,C,0.1,5,104001,5157.3713993635965,1
sinusoid,C,0.1,6,55001,3376.44614532264,1
sinusoid,C,0.1,7,90801,4708.334837190939,1
sinusoid,C,0.1,8,17001,1541.290846561937,1
sinusoid,C,0.1,9,19001,1666.2712694469867,1
sinusoid,C,0.07,0,167401,7074.885799440326,1
sinusoid,C,0.07,1,413801,12908.83605713443,1
sinusoid,C,0.07,2,177001,7338.666738756981,1
sinusoid,C,0.07,3,374401,12081.271543103494,1
sinusoid,C,0.07,4,340601,11334.962394202917,1
sinusoid,C,0.07,5,249201,9217.052727405337,1
sinusoid,C,0.07,6,309201,10642.836557255065,1
sinusoid,C,0.07,7,238401,8946.411039697163,1
sinusoid,C,0.07,8,360601,11783.02611510875,1
sinusoid,C,0.07,9,19001,1666.2712694469867,1
sinusoid,C,0.05,0,770601,19530.614772710112,1
sinusoid,C,0.05,1,696601,18254.56527625695,1
sinusoid,C,0.05,2,1000000,23232.436279261332,budget_limited
sinusoid,C,0.05,3,1000000,23222.46042620064,budget_limited
sinusoid,C,0.05,4,1000000,23217.917614125778,budget_limited
sinusoid,C,0.05,5,1000000,23232.736498408896,budget_limited
sinusoid,C,0.05,6,1000000,23235.851688170973,budget_limited
sinusoid,C,0.05,7,1000000,23230.277943606317,budget_limited
sinusoid,C,0.05,8,715001,18577.461066117907,1
sinusoid,C,0.05,9,134401,6118.690611536344,1
sinusoid,D,0.5,0,1,0.0,1
sinusoid,D,0.5,1,201,127.37130230313568,1
sinusoid,D,0.5,2,201,123.65401218822213,1
sinusoid,D,0.5,3,201,125.95152127717766,1
sinusoid,D,0.5,4,201,121.66098891629089,1
sinusoid,D,0.5,5,201,123.57098100708063,1
sinusoid,D,0.5,6,201,126.55732919515093,1
sinusoid,D,0.5,7,201,126.08537960353534,1
sinusoid,D,0.5,8,1,0.0,1
sinusoid,D,0.5,9,201,126.72000773231711,1
sinusoid,D,0.3,0,1001,479.90585731754373,1
sinusoid,D,0.3,1,601,320.1111161221602,1
sinusoid,D,0.3,2,201,123.65401218822213,1
sinusoid,D,0.3,3,1001,485.199291938041,1
sinusoid,D,0.3,4,401,222.715494316986,1
sinusoid,D,0.3,5,801,405.90404231708453,1
sinusoid,D,0.3,6,201,126.55732919515093,1
sinusoid,D,0.3,7,601,321.4848957526301,1
sinusoid,D,0.3,8,601,319.0088823218828,1
sinusoid,D,0.3,9,801,410.71526279812304,1
sinusoid,D,0.2,0,2001,829.5234036824681,1
sinusoid,D,0.2,1,601,320.1111161221602,1
